date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:05	332/332	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Dec%202021%2008:50:03%20GMT	https://www.salwyrr.fr/style_css/utils.css	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.fr/style_css/utils.css	(from https://www.salwyrr.com/legal.html)
13:50:05	224/224	---M-Z	200	added ('OK')	text/css	etag:%22e0-59a5df9ac2dc0-gzip%22	https://www.salwyrr.com/style_css/utils.css	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/style_css/utils.css	(from https://www.salwyrr.com/legal.html)
13:50:06	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Dec%202021%2008:50:04%20GMT	https://www.salwyrr.fr/style_css/funcraft.css	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.fr/style_css/funcraft.css	(from https://www.salwyrr.com/legal.html)
13:50:07	302/302	---M-Z	200	added ('OK')	text/css	etag:%2212e-59d38b69c9dc0-gzip%22	https://www.salwyrr.com/style_css/funcraft.css	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/style_css/funcraft.css	(from https://www.salwyrr.com/legal.html)
13:50:07	13356/13356	---M--	200	added ('OK')	image/png	etag:%22342c-5842a6a9202c0%22	https://www.salwyrr.com/img/logo/logo_200x200.png	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/img/logo/logo_200x200.png	(from https://www.salwyrr.com/legal.html)
13:50:08	8624/8624	---M--	200	added ('OK')	image/png	etag:%2221b0-5a18226d70740%22	https://www.salwyrr.com/img/logo/logo_mini.png	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/img/logo/logo_mini.png	(from https://www.salwyrr.com/legal.html)
13:50:08	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:06%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.eot	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regular.eot	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
13:50:09	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:07%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
13:50:09	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:07%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.woff2	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regular.woff2	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
13:50:09	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:08%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.woff	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regular.woff	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
13:50:09	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:08%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regular.ttf	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
13:50:10	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:50:08%20GMT	https://www.salwyrr.com/fonts/glyphicons-halflings-regular.svg	C:/Users/syed%20abbas/Desktop/slayer/www.salwyrr.com/fonts/glyphicons-halflings-regular.svg	(from https://www.salwyrr.com/style_css/bootstrap.min.css)
